鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
內湖區,土地,碧山段三小段301~330地號,37.31,其他,,,1090415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,152971,4100,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXPMLPJOHPFFCA98CA,0.0,0.0,0.0,
內湖區,土地,碧山段三小段301~330地號,15.47,其他,,,1090415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,63427,4100,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUPMLPJOHPFFCA68CA,0.0,0.0,0.0,
信義區,房地(土地+建物),臺北市信義區松仁路308巷91~120號,27.0,住,,,1090331,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731210,101.12,3,2,2,有,無,13600000,134494,,0.0,0,含增建或未登記建物。;,RPROMLLKNHPFFDA97CA,82.58,0.35,9.43,
信義區,房地(土地+建物),臺北市信義區忠孝東路五段790巷57弄1~30號,21.07,住,,,1090428,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061221,80.33000000000001,1,1,1,有,有,17000000,211627,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPTPMLLKNHPFFDA28CA,37.92,2.13,7.4,
松山區,房地(土地+建物)+車位,臺北市松山區基隆路一段1~30號,11.85,商,,,1090505,土地1建物1車位1,十五層,十八層,辦公商業大樓,商業用,鋼筋混凝土造,0840126,171.8,0,0,0,無,有,32000000,186263,升降平面,0.0,0,,RPTOMLMKNHPFFDA28CA,133.18,0.0,0.0,
南港區,房地(土地+建物),臺北市南港區成福路194巷1弄1~30號,26.57,住,,,1090408,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720623,98.95,3,2,2,有,無,12500000,126326,,0.0,0,,RPQNMLNKNHPFFDA97CA,84.73,0.0,14.22,
松山區,房地(土地+建物),臺北市松山區三民路113巷1~30號,36.5,住,,,1090328,土地1建物1車位0,一層，平台,四層,店面(店鋪),,鋼筋混凝土造,0620518,99.06,0,0,0,無,無,31200000,314961,,0.0,0,含增建或未登記建物。;,RPVPMLNKNHPFFDA68CA,99.06,0.0,0.0,
南港區,房地(土地+建物)+車位,臺北市南港區園區街31~60號,30.1,住,,,1090408,土地1建物1車位1,見其他登記事項，十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000414,216.26,4,3,3,有,有,42800000,197910,坡道平面,33.87,0,含增建或未登記建物。;,RPWPMLNKNHPFFDA78CA,108.72,6.19,11.19,
信義區,土地,和段二小段241~270地號,8.21,住,,,1090410,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3675000,447625,,0.0,0,,RPQOMLOKNHPFFDA18CA,0.0,0.0,0.0,
信義區,土地,和段二小段241~270地號,14.53,住,,,1090409,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6600000,454233,,0.0,0,,RPTOMLOKNHPFFDA48CA,0.0,0.0,0.0,
信義區,土地,和段二小段241~270地號,7.27,住,,,1090410,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3375000,464237,,0.0,0,,RPUOMLOKNHPFFDA58CA,0.0,0.0,0.0,
信義區,土地,和段二小段241~270地號,24.22,住,,,1090410,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11010000,454583,,0.0,0,,RPOPMLOKNHPFFDA08CA,0.0,0.0,0.0,
信義區,土地,和段二小段241~270地號,23.28,住,,,1090409,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10470000,449742,,0.0,0,,RPQPMLOKNHPFFDA28CA,0.0,0.0,0.0,
信義區,房地(土地+建物)+車位,臺北市信義區林口街151~180號,21.44,住,,,1090319,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0791022,191.51,3,2,2,有,有,28500000,148817,坡道平面,0.0,0,,RPPPMLMJOHPFFDA97CA,143.16,3.08,8.42,
松山區,房地(土地+建物),臺北市松山區復興南路一段61~90號,3.35,商,,,1090302,土地1建物1車位0,十二層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780724,39.1,1,1,1,有,有,8000000,204604,,0.0,0,,RPQOMLSJOHPFFDA58CA,30.12,0.0,2.22,
北投區,車位,臺北市北投區西安街二段241~270號,9.17,住,,,1090429,土地0建物0車位1,地下二層,六層,其他,見使用執照,鋼筋混凝土造,0800725,37.15,0,0,0,有,無,1200000,,升降平面,37.15,1200000,,RPPPMLLKNHPFFEA97CA,0.0,0.0,0.0,
北投區,房地(土地+建物),臺北市北投區吉利街280巷27弄1~30號,33.0,住,,,1090414,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590324,89.93,3,2,2,有,無,14300000,159013,,0.0,0,頂樓增建陽台外推本成交資訊係由不動產經紀業提供屬實,RPSNMLMKNHPFFEA18CA,78.33,0.0,11.6,
北投區,房地(土地+建物),臺北市北投區中山北路七段219巷3弄61~90號,21.66,住,,,1090402,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730920,95.73,2,2,1,有,有,10300000,107594,,0.0,0,含增建或未登記建物。;,RPXNMLMKNHPFFEA68CA,78.07,0.0,13.16,
士林區,房地(土地+建物),臺北市士林區德行東路331巷36弄1~30號,55.92,住,,,1090207,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731218,148.13,4,2,2,有,無,18150000,122528,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLMKNHPFFEA58CA,131.79,0.0,12.88,
士林區,房地(土地+建物)+車位,臺北市士林區小北街1~30號,17.53,商,,,1090112,土地1建物1車位1,五層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1080212,78.91,1,1,1,有,有,22000000,282550,升降機械,8.48,2100000,房地總價含車位款210萬,RPRNMLNKNHPFFEA18CA,37.88,2.54,2.74,
士林區,房地(土地+建物)+車位,臺北市士林區福林路100巷1~30號,188.77,住,,,1090414,土地1建物1車位4,四層，五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020515,624.3,0,0,0,無,有,181800000,337140,坡道平面,114.72,10000000,土地價金:174528000房屋價金:7272000車位已含在交易總價內,RPWOMLNKNHPFFEA78CA,277.87,6.12,41.15,
大安區,房地(土地+建物)+車位,臺北市大安區青田街12巷1~30號,30.3,住,,,1090326,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680407,84.71000000000001,4,2,2,有,有,13600000,160548,坡道平面,28.96,0,親友、員工或其他特殊關係間之交易。;,RPVQMLLKNHPFFFA78CA,67.66,0.0,5.49,
大安區,房地(土地+建物),臺北市大安區建國南路一段304巷1~30號,20.38,住,,,1090326,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),見其他登記事項,加強磚造,0570214,62.28,3,2,1,有,無,9100000,146114,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPRMLLKNHPFFFA28CA,62.28,0.0,0.0,
大安區,房地(土地+建物),臺北市大安區建國南路二段39巷1~30號,28.05,住,,,1090402,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720929,159.75,3,2,2,有,無,40010000,250454,,0.0,0,含增建或未登記建物。;,RPWNMLMKNHPFFFA68CA,116.02,0.0,21.1,
大安區,車位,臺北市大安區基隆路二段271~300號,4.17,住,,,1090429,土地0建物0車位1,六層,八層,其他,住家用,鋼筋混凝土造,0840824,20.16,0,0,0,有,無,1400000,,坡道機械,20.16,1400000,單獨車位交易。;,RPSNMLNKNHPFFFA38CA,0.0,0.0,0.0,
大安區,車位,臺北市大安區光復南路691~720號,0.07,商,,,1090424,土地0建物0車位1,一層,十四層,其他,見其他登記事項,鋼筋混凝土造,1011120,4.05,0,0,0,有,有,2000000,,升降機械,4.05,2000000,單獨車位交易。;,RPQOMLNKNHPFFFA28CA,0.0,0.0,0.0,
大安區,車位,臺北市大安區建國南路一段286巷1~30號,0.05,住,,,1090319,土地0建物0車位1,,,其他,,,,41.69,0,0,0,有,有,4000000,,坡道平面,41.69,4000000,單獨車位交易。;,RPROMLPKNHPFFFA58CA,0.0,0.0,0.0,
文山區,房地(土地+建物),臺北市文山區三福街61~90號,9.14,住,,,1090226,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030127,81.37,3,1,2,有,有,10000000,122895,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLOKNHPFFAA18DA,38.37,3.23,2.68,
文山區,房地(土地+建物),臺北市文山區景興路271~300號,5.66,商,,,1090407,土地3建物1車位0,三層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1090110,65.56,0,2,1,有,有,11100000,169311,,0.0,0,,RPXOMLKLNHPFFAA38DA,35.68,2.12,4.38,
中正區,房地(土地+建物),臺北市中正區汀州路二段31~60號,11.05,商,,,1090407,土地3建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0850126,103.92,2,2,2,有,有,18800000,180908,,0.0,0,,RPPPMLPLNHPFFAA18DA,70.12,0.0,9.38,
中正區,房地(土地+建物),臺北市中正區林森南路99巷1~30號,11.25,住,,,1090330,土地1建物1車位0,二層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0751106,31.87,1,1,1,有,無,7650000,240038,,0.0,0,,RPTOMLPKNHPFFBA48DA,26.72,0.0,2.63,
萬華區,房地(土地+建物)+車位,臺北市萬華區青年路152巷1~30號,45.63,住,,,1090412,土地4建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970103,213.45,4,2,2,有,有,28500000,133521,坡道平面,0.0,0,,RPPNMLQKNHPFFBA08DA,116.43,0.0,10.92,
萬華區,房地(土地+建物),臺北市萬華區昆明街301~330號,29.46,商,,,1090413,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780125,149.99,3,2,2,有,無,21280000,141876,,0.0,0,含增建或未登記建物。,RPVPMLKLNHPFFBA38DA,118.07,2.56,12.3,
萬華區,房地(土地+建物),臺北市萬華區昆明街151~180號,12.32,商,,,1090308,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780429,104.23,3,2,2,有,無,16250000,155905,,0.0,0,,RPWOMLQLNHPFFBA98DA,83.47,0.0,0.0,
內湖區,房地(土地+建物),臺北市內湖區康樂街186巷1弄1~30號,40.86,住,,,1090418,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761128,119.27,4,2,2,有,有,13680000,114698,,0.0,0,,RPOSMLMKNHPFFCA18DA,93.15,0.74,11.68,
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街81巷1~30號,33.31,住,,,1090321,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840307,151.29999999999998,3,2,2,有,有,26880000,193459,坡道機械,21.66,1800000,含增建或未登記建物。,RPTNMLNKNHPFFCA28DA,127.32,0.0,10.35,
內湖區,房地(土地+建物),臺北市內湖區內湖路二段103巷31~60號,26.45,住,,,1090312,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730628,140.25,2,2,2,有,有,27570000,196578,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLOKNHPFFCA58DA,107.23,0.0,9.21,
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路460巷18弄1~30號,28.27,住,,,1090329,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900119,179.39,4,2,2,有,有,23300000,146593,坡道平面,34.09,2000000,含增建或未登記建物。,RPWOMLSKNHPFFCA56DA,104.46,0.0,12.06,
中山區,房地(土地+建物),臺北市中山區新生北路三段84巷1~30號,17.12,商,,,1090322,土地2建物1車位0,四層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0670220,95.66,4,2,1,有,無,15530000,162346,,0.0,0,含增建或未登記建物。,RPUOMLQLNHPFFCA88DA,79.45,0.0,0.0,
信義區,房地(土地+建物),臺北市信義區忠孝東路五段71巷3弄1~30號,35.25,住,,,1090225,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631014,86.42,2,2,1,有,無,12000000,138857,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLNKNHPFFDA78DA,86.42,0.0,0.0,
南港區,房地(土地+建物),臺北市南港區南港路一段151~180號,149.24,住,,,1090315,土地17建物1車位0,全,三層,透天厝,住商用,加強磚造,,420.3,5,4,4,有,無,88000000,209374,,0.0,0,含增建或未登記建物。,RPRQMLPLNHPFFDA78DA,420.3,0.0,0.0,
南港區,房地(土地+建物),臺北市南港區東新街170巷1~30號,32.7,住,,,1090409,土地8建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760216,120.82,3,2,2,有,無,17100000,141533,,0.0,0,含增建或未登記建物。,RPTQMLPLNHPFFDA98DA,98.38,0.0,11.98,
松山區,房地(土地+建物),臺北市松山區撫遠街399巷1~30號,33.25,住,,,1090225,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640410,89.76,3,2,2,有,無,15000000,167112,,0.0,0,含增建或未登記建物。,RPXNMLQLNHPFFDA56DA,89.76,0.0,0.0,
南港區,房地(土地+建物)+車位,臺北市南港區南深路31~60號,25.17,住,,,1090221,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880316,114.12,2,2,1,有,有,9100000,79734,坡道平面,0.0,1000000,含增建或未登記建物。,RPQOMLQLNHPFFDA58DA,47.33,0.0,7.55,
